idx,word,occurrences
931,seriou,16
932,till,16
933,cc,16
934,plenti,16
935,corpor,16
936,sweet,16
937,redeem,16
938,imposs,16
939,conf,16
940,patient,16
941,merger,16
942,midnight,16
943,funer,16
944,feb,16
945,per,16
946,special,16
947,forgot,16
948,fyi,16
949,funni,16
950,suitcas,16
951,dmd,16
952,fit,16
953,premium,16
954,insid,16
955,begin,16
956,especi,16
957,ahead,15
958,unbeliev,15
959,admir,15
960,annoy,15
961,quickli,15
962,stress,15
963,onboard,15
964,snack,15
965,music,15
966,daili,15
967,becom,15
968,brother,15
969,automat,15
970,profession,15
971,lt,15
972,unhelp,15
973,alon,15
974,client,15
975,?,15
976,intl,15
977,game,15
978,sold,15
979,singl,15
980,previou,15
981,ignor,15
982,bother,15
983,fa,15
984,favorit,15
985,diego,15
986,hot,15
987,write,15
988,?,15
989,columbu,15
990,youd,15
991,face,15
992,girl,15
993,rent,15
994,decid,14
995,basic,14
996,theth,14
997,alert,14
998,infant,14
999,forget,14
1000,usa,14
1001,eventu,14
1002,consist,14
1003,shot,14
1004,chairman,14
1005,commerci,14
1006,effort,14
1007,ugh,14
1008,freez,14
1009,condit,14
1010,log,14
1011,school,14
1012,creat,14
1013,sick,14
1014,cheer,14
1015,limit,14
1016,faster,14
1017,degre,14
1018,specif,14
1019,seattl,14
1020,type,14
1021,normal,14
1022,auto,14
1023,amount,14
1024,ball,14
1025,uk,14
1026,bin,14
1027,transport,14
1028,deliveri,14
1029,confus,14
1030,diff,14
1031,coffe,14
1032,internet,14
1033,pleasant,14
1034,park,14
1035,fast,14
1036,treatment,14
1037,along,14
1038,appeas,14
1039,street,14
1040,event,14
1041,perfect,14
1042,clearli,14
1043,mail,14
1044,avoid,14
1045,america,14
1046,cheap,14
1047,bday,14
1048,forhr,14
1049,fall,14
1050,straight,14
1051,beauti,14
1052,legroom,13
1053,abov,13
1054,wan,13
1055,immedi,13
1056,ta,13
1057,stick,13
1058,unprofession,13
1059,badcustomerservic,13
1060,decis,13
1061,discount,13
1062,simpl,13
1063,pit,13
1064,premier,13
1065,divert,13
1066,pre,13
1067,nc,13
1068,prepar,13
1069,florida,13
1070,tampa,13
1071,imagin,13
1072,eat,13
1073,dream,13
1074,courtesi,13
1075,k,13
1076,extend,13
1077,winner,13
1078,somewher,13
1079,discuss,13
1080,yell,13
1081,crash,13
1082,affect,13
1083,economi,13
1084,near,13
1085,charact,13
1086,mileageplu,13
1087,doubl,13
1088,light,13
1089,disappear,13
1090,moment,13
1091,dia,13
1092,wednesday,13
1093,palm,13
1094,omg,13
1095,photo,13
1096,although,13
1097,frm,13
1098,ontim,13
1099,third,13
1100,mother,13
1101,main,13
1102,slc,13
1103,thankyou,13
1104,waiv,12
1105,across,12
1106,shuttl,12
1107,cheaper,12
1108,kill,12
1109,sincer,12
1110,valu,12
1111,fuel,12
1112,sf,12
1113,market,12
1114,brand,12
1115,advanc,12
1116,yo,12
1117,exit,12
1118,spring,12
1119,wheelchair,12
1120,estim,12
1121,comp,12
1122,feet,12
1123,holder,12
1124,acct,12
1125,etc,12
1126,trueblu,12
1127,local,12
1128,sooner,12
1129,opportun,12
1130,buffalo,12
1131,pictur,12
1132,black,12
1133,outsid,12
1134,london,12
1135,ski,12
1136,militari,12
1137,insult,12
1138,iphon,12
1139,pr,12
1140,comfort,12
1141,hook,12
1142,dog,12
1143,within,12
1144,stewardess,12
1145,exampl,12
1146,dept,12
1147,often,12
1148,outstand,12
1149,profit,12
1150,sea,12
1151,dal,12
1152,technic,12
1153,nd,12
1154,design,12
1155,public,12
1156,woman,12
1157,guarante,12
1158,sale,12
1159,arrang,12
1160,journal,12
1161,floor,12
1162,chat,12
1163,red,12
1164,honest,12
1165,million,12
1166,age,12
1167,coupl,12
1168,piec,12
1169,fund,12
1170,attent,12
1171,shock,12
1172,met,12
1173,insan,12
1174,pair,12
1175,accur,11
1176,clue,11
1177,kick,11
1178,rais,11
1179,forev,11
1180,rr,11
1181,respect,11
1182,taxi,11
1183,washington,11
1184,faa,11
1185,paper,11
1186,okc,11
1187,truli,11
1188,pain,11
1189,student,11
1190,nobodi,11
1191,higher,11
1192,speed,11
1193,known,11
1194,bet,11
1195,prompt,11
1196,prevent,11
1197,low,11
1198,nearli,11
1199,e,11
1200,jump,11
1201,solv,11
1202,lead,11
1203,death,11
1204,lower,11
1205,gear,11
1206,ass,11
1207,simpli,11
1208,mint,11
1209,memphi,11
1210,advantag,11
1211,easili,11
1212,worker,11
1213,weight,11
1214,practic,11
1215,exact,11
1216,~,11
1217,eye,11
1218,silver,11
1219,awar,11
1220,beach,11
1221,dull,11
1222,contest,11
1223,comment,11
1224,ah,11
1225,thursday,11
1226,?,11
1227,directli,11
1228,felt,11
1229,beat,11
1230,recommend,11
1231,f,11
1232,star,11
1233,six,11
1234,cab,11
1235,west,11
1236,absurd,10
1237,east,10
1238,kp,10
1239,hundr,10
1240,pdx,10
1241,click,10
1242,nj,10
1243,david,10
1244,assum,10
1245,tough,10
1246,handler,10
1247,summer,10
1248,accord,10
1249,hous,10
1250,rapid,10
1251,coupon,10
1252,retriev,10
1253,afford,10
1254,qualiti,10
1255,perform,10
1256,somehow,10
1257,fire,10
1258,raleigh,10
1259,poorli,10
1260,loyalti,10
1261,movi,10
1262,hawaii,10
1263,ty,10
1264,meant,10
1265,promo,10
1266,search,10
1267,side,10
1268,april,10
1269,defin,10
1270,golf,10
1271,nothappi,10
1272,jetway,10
1273,freak,10
1274,cri,10
1275,interview,10
1276,piss,10
1277,sna,10
1278,rsw,10
1279,cmon,10
1280,bdl,10
1281,yea,10
1282,express,10
1283,logan,10
1284,prior,10
1285,separ,10
1286,flier,10
1287,cmh,10
1288,jblu,10
1289,cell,10
1290,size,10
1291,five,10
1292,yep,10
1293,song,10
1294,releas,10
1295,epicfail,10
1296,certain,10
1297,fort,10
1298,stl,10
1299,inspir,10
1300,elit,10
1301,wheel,10
1302,traffic,10
1303,refer,10
1304,suit,10
1305,properli,10
1306,obvious,10
1307,unreal,10
1308,pbi,10
1309,method,10
1310,jb,10
1311,juan,10
1312,minor,10
1313,nah,10
1314,somebodi,10
1315,poorservic,10
1316,texa,10
1317,yyz,10
1318,disgrac,10
1319,laptop,9
1320,exp,9
1321,function,9
1322,noon,9
1323,easier,9
1324,chair,9
1325,selfi,9
1326,?,9
1327,parent,9
1328,vx,9
1329,otherwis,9
1330,mdw,9
1331,dead,9
1332,drove,9
1333,difficult,9
1334,ran,9
1335,increas,9
1336,california,9
1337,pic,9
1338,rip,9
1339,advertis,9
1340,yay,9
1341,roundtrip,9
1342,sadli,9
1343,carousel,9
1344,garbag,9
1345,precheck,9
1346,dad,9
1347,york,9
1348,upcom,9
1349,road,9
1350,certif,9
1351,io,9
1352,apart,9
1353,pax,9
1354,incid,9
1355,shouldv,9
1356,coat,9
1357,formin,9
1358,mark,9
1359,outlet,9
1360,eta,9
1361,disast,9
1362,procedur,9
1363,midway,9
1364,prove,9
1365,understood,9
1366,miser,9
1367,repair,9
